,title,author,summary,category,word_count,age_cat,num_views,num_fav,publication_date,tags,url,download_link
249,Bitty and The Guardian of Sespria,Janice Reynolds,"The Guardian of Sespria, is the first book of a series regarding a lonely, eleven year old girl who talks to God each night about her struggles and her dreams. One morning, a strange object appears in her bedroom. That night, strange becomes frightening as she is swept away into another dimension by an unknown Being. Everything she learns about herself, while trying to help citizens of another world, transform her into a person she never thought possible. This story of trust, charity, love and unexpected miracles is wonderfully told in this humorously witty and scary tale.",Fantasy,1557 Words,Ages 0 and up,1080,5,12-22-2009,"{'Children', 'Inspirational', 'Teen', 'Adventure', 'Fantasy', 'Science Fiction'}",https://www.bookrix.com/_ebook-janice-reynolds-bitty-and-the-guardian-of-sespria/,https://www.bookrix.com/Books/Download.html?bookID=janicereynolds_1261536880.7195270061&format=epub
250,The People the Time forgot,Edgar Rice Burroughs,Project Gutenberg of Australia Book. PGA offers copyright free Books of various Authors to the world. This is one of the lesser known ones of Sir Edgar Rice Burroughs.,Fantasy,38276 Words,Ages 0 and up,1078,28,02-19-2011,{'Projekt Gutenberg'},https://www.bookrix.com/_ebook-edgar-rice-burroughs-the-people-the-time-forgot/,
251,Eternal Flower,Alexis Heddens,"Forced into marriage to unite the two packs currently residing in Ludington, Michigan, Tessa will do anything. But at what cost? Becoming a vampire is not what she planned. Now, trying to gain back her strength so she can escape, Tessa gets close to the one who turned her: Jaden. But a little too close. With her pack on her trial, they will stop at nothing to kill her and redeem her soul. Only one problem. She still has her soul.",Fantasy,1587 Words,Ages 0 and up,1076,31,11-23-2011,{'vampires and werewolves'},https://www.bookrix.com/_ebook-alexis-heddens-eternal-flower/,https://www.bookrix.com/Books/Download.html?bookID=nakkita_1322065218.3572609425&format=epub
252,A life without my love,pumpkin1997,alice and edward have been destroyed.bella goes to the volturi ands asks them to destroy her.the cullens rush to save her but how much will there be lft to save?,Fantasy,4669 Words,Ages 0 and up,1074,57,10-03-2010,,https://www.bookrix.com/_ebook-pumpkin1997-a-life-without-my-love/,https://www.bookrix.com/Books/Download.html?bookID=pumpkin1997_1286139954.9236590862&format=epub
253,The Beginning of the End,pumpkin1997,the cullens left bella.bella has a child and then victoria returns.as a vampire with a human daughter bella meets the family that she once called her own again.....,Fantasy,935 Words,Ages 0 and up,1072,63,11-18-2010,,https://www.bookrix.com/_ebook-pumpkin1997-the-beginning-of-the-end/,https://www.bookrix.com/Books/Download.html?bookID=pumpkin1997_1290026184.4113860130&format=epub
254,I Got My Heart Broken By A Vampire,Marcella Smith,Update chapters as soon as possible.Ciara was just an a normal high school junior enjoying life. Everything soon turns around when she meets Jamain and soon her life will be changed forever,Fantasy,11464 Words,Ages 0 and up,1070,67,11-23-2010,"{'ciara', 'vampire', 'jamain', 'rashari'}",https://www.bookrix.com/_ebook-marcella-smith-i-got-my-heart-broken-by-a-vampire/,https://www.bookrix.com/Books/Download.html?bookID=marcellassmith_1290532454.9653170109&format=epub
255,Alpha to Alpha,Earon lenea,This is just a book that I was thinking about stuff when it came to werewolf's and I came up with this I hope u like it and I'm not good at spelling and I'm sorry but I try my best,Fantasy,328 Words,Ages 16 and up,1066,17,06-25-2012,"{'mates', 'Alpha', 'werewolf', 'wolf'}",https://www.bookrix.com/_ebook-earon-lenea-alpha-to-alpha/,https://www.bookrix.com/Books/Download.html?bookID=earon.star_1340600697.0902199745&format=epub
256,THE HAUNTED KINGDOM 2,Charles E.J. Moulton,"BOOK TWO: When the court awakes, Nomed is gone. Savage war, perverse scandal, sickness and death then haunt the land, finally leaving Alexander alone and desperate as the only inhabitant in the haunted kingdom. But Belinda reappears, claiming that this world is Lucinda’s illusion to trap him and that the family members are all actually asleep, poisoned by Nomed and caught in hell in a time trap. Alexander’s mission is to track down his sister and kill her. Werewolves in an enchanted forest petrify him, challenging his sanity, but Belinda leads him to his three angels, who send him into The Dark Forest. There and in The Wasteland he endures demonic visions, but is protected by love. Meanwhile, King Adnicul has been betrayed and encaged by his master Lucifer, who has told him he was but a vehicle to tutor Lucinda. Adnicul’s dead servant Eric comes back to him as an angel and promises him eternal peace if he helps Alexander find his sister. Alexander is lead by his younger self to a forest tribe, who tutor him to become an magical warrior. His reward is St.Michael’s Sword.",Fantasy,55657 Words,Ages 0 and up,1062,6,06-10-2011,"{'Mystery', 'Romance', 'Horror', 'Philosophy', 'Fantasy', 'Fairytale'}",https://www.bookrix.com/_ebook-charles-e-j-moulton-the-haunted-kingdom-2/,https://www.bookrix.com/Books/Download.html?bookID=charlesmoulton_1307745888.7240760326&format=epub
257,NCIS Agent By Birth,Heather Reed,"Isabella Gibbs used to live in Washington, DC with her father, Agent Leroy Jethro Gibbs, when she was 5, but when her mother, Renee and her little brother, Michael, got killed in a car crash she went into a Witness Protection Program because she saw her mother and brother's murder. When she went into the Witness Protection Program and moved to Forks, Washington to live with her Uncle Charlie Swan. She changed her name to Bella Swan and played as Charlie Swan's daughter. She started dating a vampire for a year and then he leaves her. Then a year pasts and she wanted to move back to Washington, DC. NCIS is a TV show and of course y'all know Twilight. I used the same people in both NCIS and Twilight but I also added more people in there.",Fantasy,25073 Words,Ages 0 and up,1067,26,03-09-2012,"{'Gibbs', 'Bella', 'NCIS', 'Birth'}",https://www.bookrix.com/_ebook-heather-reed-ncis-agent-by-birth/,https://www.bookrix.com/Books/Download.html?bookID=heatherbug95_1331295993.9397850037&format=epub
258,Emmett and Rosalie Cullen,Georgie Jones,Rosalie never thought she would meet her love but then she stumbles upon Emmett and her life is changed forever.,Fantasy,3316 Words,Ages 0 and up,1061,12,03-11-2011,"{'soulmate', 'love', 'sex', 'marriage'}",https://www.bookrix.com/_ebook-georgie-jones-emmett-and-rosalie-cullen/,https://www.bookrix.com/Books/Download.html?bookID=jonsey1234_1299879966.2213099003&format=epub
259,Payback's a bitch!,that must be me..,"Rejection,that's the worse thing that can happen to a she-wolf and guess what, this is what happen to our main protagonist, Veronica or Roni Fenson.Having enough of that life of shit she ran away to her late mother's sister who happen to be a... oh my vampire!That makes her half vampire and half werewolf(bad combination don't ya think?).Now she gotta come back after one year but then theirs 2 problems with capital P's:1) she look too vampy and2)she'll have to face that excuse of a mate she got again!So now the question is, will she let herself drown in that miserable life she had again?Answer: No effing way in hell!
Now my dear little readers if you guys want to find out more anout what will happen...read DUH!",Fantasy,885 Words,Ages 12 and up,1059,36,11-12-2012,,https://www.bookrix.com/_ebook-that-must-be-me-payback-039-s-a-bitch/,https://www.bookrix.com/Books/Download.html?bookID=bluberry_1352735895.4439311028&format=epub
260,Scarlett Wolf,Kimberly Rae,"Scarlett Sabrea is a girl who finds peace in lonliness, but when she befriends a wolf that shows her an entirely different world, she realizes her own will never be the same. Violence begins, her own life ends, and time is tested. Always remember, Never fall in love with a wherwolf.",Fantasy,394 Words,Ages 0 and up,1057,43,08-26-2011,"{'wherwolf', 'wolf', 'adventure', 'vampire', 'teen', 'romance', 'love', 'fantasy'}",https://www.bookrix.com/_ebook-kimberly-rae-scarlett-wolf/,https://www.bookrix.com/Books/Download.html?bookID=bloodhalk_1314367039.8691029549&format=epub
261,"the werewolf, the angel, and the hybrid",hannah then,this book is about a girel named sam whos parents are no long with each other but are still good friends and she finds out what she is and is going to need the help of her parnts and maybe er mate and long time friend,Fantasy,1505 Words,Ages 0 and up,1056,29,03-14-2011,{'werewolf angel hybrid'},https://www.bookrix.com/_ebook-hannah-then-the-werewolf-the-angel-and-the-hybrid/,https://www.bookrix.com/Books/Download.html?bookID=booklover14h_1300154688.1673610210&format=epub
262,Fire & Ice,Tohru Natsumi & Elliot Cross,"Have you ever been alone in the world. An outkast? Tohru has. Tohru is a 15 year old girl, she's a normal teenager, confused and alone, who's life is about to be scrambled once again. Along with her best friend, Elliot Cross,the loveless. Who will they meet on this road of star-crossed fate? People... But not all of these people are human... Will Tohru find out who she is, Will Elliot find love. What will happen to our beloved characters? Find out",Fantasy,17066 Words,Ages 0 and up,1056,43,05-30-2010,"{'Drama', 'Werewolf', 'Werewolves', 'Dakrness', 'fire', 'Vampires', 'Fantasy', 'Vampire'}",https://www.bookrix.com/_ebook-tohru-natsumi-elliot-cross-fire-ice/,https://www.bookrix.com/Books/Download.html?bookID=tohrunatsumi_1275241075.2186560631&format=epub
263,Forbidden-Joined,Hannah Quade,The threat of a new pack forces Emily's pack to make a difficult decision,Fantasy,2270 Words,Ages 0 and up,1053,63,07-26-2010,"{'joined', 'Forbidden', 'fantasy', 'werewolf'}",https://www.bookrix.com/_ebook-hannah-quade-forbidden-joined/,https://www.bookrix.com/Books/Download.html?bookID=dinoslovehannah_1280164938.8291940689&format=epub
264,ALPHA,SHANNON COOTS,"Alpha Blake Malone is a force, and respected by his pack. he has two pups Molly and seth and no mate! Not that i'm looking.
Page daughter to my best friend Mickey unespected mate! what will happened????? read me and find out;)",Fantasy,3541 Words,Ages 0 and up,3331,123,08-30-2011,"{'friend', 'moon', 'midnight,... Show more', 'mate', 'shift', 'pups', 'attacked', 'omega', 'Alpha', 'paige'}",https://www.bookrix.com/_ebook-shannon-coots-alpha/,https://www.bookrix.com/Books/Download.html?bookID=babyluv_1314724895.4486179352&format=epub
265,Cliche?,R.G Teongson,I was rejected- my soulmate. He was suppose to be my other half but that half remained empty. So to forget about it all I partied 'till I was drunk and ready to pass out and until every last remaining memories of him would vanish away.,Fantasy,2581 Words,Ages 16 and up,2941,94,04-23-2012,"{'sex', 'rejected', 'friends,... Show more', 'die', 'alcohol', 'drugs', 'werewolf', 'were', 'shifter'}",https://www.bookrix.com/_ebook-r-g-teongson-cliche/,https://www.bookrix.com/Books/Download.html?bookID=my.mind.speak_1335186724.9943408966&format=epub
266,Breakfast with a Werewolf,Marissa L. Zepperi,"Hey I'm Missi, and I am a normal girl with normal teenage problems but then my hole life gets turned upside down and before I know it I live in a house full of werwolfes.",Fantasy,30 Words,Ages 14 and up,2921,61,05-29-2011,,https://www.bookrix.com/_ebook-marissa-l-zepperi-breakfast-with-a-werewolf/,https://www.bookrix.com/Books/Download.html?bookID=ari.zepperi_1306428382.0764229298&format=epub
267,Feral Heart Edit,Duron Crejaro,"The World burned, and with it most of life. Those that survived found themselves in a new world, struggling for survival. Strange creatures called the Wylder, roamed the ruins of civilization.
  Humanity coalesced into the major urban centers, and established independent city-states. Eliza, a young girl of seventeen resides in one such place, Nashboro. Society is controlled, and all children are forced into the education system. They are fed the truths those in charge want.
  Eliza learned their lessons, and everything she knew was about to change.",Fantasy,9628 Words,Ages 16 and up,2863,23,03-20-2016,,https://www.bookrix.com/_ebook-duron-crejaro-feral-heart-edit/,https://www.bookrix.com/Books/Download.html?bookID=inc392fe8b06155_1455481461.4839489460&format=epub
268,The Vampire Joy,Alisa Freund,"I know, I know another vampire book. this is about a young girl who got adopted by a vampire. everything was going well until weeks before her transformation when she finds out that not everyone is who they appear to be and now she is on the brink of a collasal decision that will affect the entire vampire comunity. the only problem is she doesn't even know what the question is, let alone the answer. *warning this is unfinished and has a lot of grammatical errors. I just want to get feedback before I fix it up.",Fantasy,22200 Words,Ages 0 and up,2855,236,07-24-2010,{'vampire'},https://www.bookrix.com/_ebook-alisa-freund-the-vampire-joy/,https://www.bookrix.com/Books/Download.html?bookID=moanalisa311_1280005897.9401509762&format=epub
269,Earth's Elements,Missy,"Lillenette falls in love with Darien, and she never thought her life could get any better. then darien dies, and Lillenette is accused of killing him, and she is put into a home with nine other people, and strange things start to happen, and Lillenette soons starts to uncover the reall reason she was put into Lukris Home, and also about why everyone else that is their, and what they all are.....",Fantasy,61119 Words,Ages 0 and up,2421,155,06-19-2011,"{'crazy', 'powers', 'hate', 'father,... Show more', 'death', 'loss', 'friends', 'love', 'werewolf', 'family'}",https://www.bookrix.com/_ebook-missy-earth-039-s-elements/,https://www.bookrix.com/Books/Download.html?bookID=animefreak1201_1308459579.5543010235&format=epub
270,Broken,Ellie Anne,"When Onika meets a strange wolf-boy named Erin, her world starts to turn upside-down. Now, she finds out things about herself she never knew and maybe... just maybe... she finds herself liking it.",Fantasy,21657 Words,Ages 0 and up,2283,64,05-05-2011,"{'werewolves', 'broken'}",https://www.bookrix.com/_ebook-ellie-anne-broken/,https://www.bookrix.com/Books/Download.html?bookID=segut702_1304647588.7204449177&format=epub
271,Witch Clan: Warriors!,John Stormm,"Evil wizards attack from a parallel world, stealing weapons and artifacts to attack and annex other worlds. Emma's little clan, with the help of a Mohawk warrior mentor for Johnny are the only hope for more than one universe!",Fantasy,78855 Words,Ages 12 and up,2171,25,10-12-2012,"{'Sidhe', 'witch', 'fae', 'spells', 'warlocks'}",https://www.bookrix.com/_ebook-john-stormm-witch-clan-warriors/,https://www.bookrix.com/Books/Download.html?bookID=stormm_1340295709.1025230885&format=epub
272,Rising Sun,Gabrielle Danielle Burnett,"Renesmee is a not your normal fourteen year old girl. For one, she's in love with a wolf boy who, at some point in time, loved her mother, Bella. Her parents are immortal. Oh, and she also happens to be a Halfling (her word for a part human part vampire hybrid). After her Jacob left for five years, after being with her for only a few months, Renesmee ""Nessie"" Carlie Cullen begins to doubt that he ever imprinted on her. When he returns all doubts are flushed away, and the urge to be with him is stronger than ever. Unfortunatly, there are others who long for Renesmee, if not in the same sense. And when people suddenly start showing up, dead, in Washington State, the Cullens are blamed, after much hesitation, by their werewolf brothers. Will Nessie be able to prove their innocence, or are the Cullens really to blame?",Fantasy,4255 Words,Ages 0 and up,2139,123,08-23-2010,"{'Imprinting', 'Love', 'Running,... Show more', 'Vampire', 'Werewolf', 'Fun', 'Shape Shifter', 'Suspense'}",https://www.bookrix.com/_ebook-gabrielle-danielle-burnett-rising-sun/,https://www.bookrix.com/Books/Download.html?bookID=danielle.burnett_1282600870.4924240112&format=epub
273,Forbidden Love,J.M.Hurley,"~Sample Book~ *Not Finished*
Mystica Evans has never been normal. Her parents were murdered last year and besides that, she's a vampire. Her sister, Dakota, also lost her best friend and her fiancee that terrible night, and she wants revenge. They know who did it, everyone does, the wolves. So what's stopping them? It would've been nothing, should've been nothing, until Mystica fell in love with the man she's forbidden to see. Now, Tori and Mystica have mingled with the wovles, Dakota's planning a war against them with new found friend, Scarlet, and everyone else is trying to pick a side. They've been raised to believe the wolves are enemies, that Vampires are their only allies, but now they're starting to realize their theroy could be wrong. But that's what happens when you fall into Forbidden Love...Could you resist it?",Fantasy,20236 Words,Ages 0 and up,2055,149,08-22-2011,"{'forbidden love', 'clan', 'hug,... Show more', 'Werewolf', 'pack', 'kiss', 'Werefolves', 'vampire'}",https://www.bookrix.com/_ebook-j-m-hurley-forbidden-love/,https://www.bookrix.com/Books/Download.html?bookID=sppellerd_1314033229.4358980656&format=epub
274,Beyond the Veil,J.C. Kelley,"Kay isn't normal exactly, but she's managed to fit in with the other people in her life. When a series of phenomenon occur, she blames it on puberty. When an insane, power-hungry immortal comes for her, however, she must decide who she'll side with: The strange unorthodox group of freak teens who claim she's a Supernatural? Or the cunning overlord who's willing to kill--slowly--in order to get what he wants?",Fantasy,16432 Words,Ages 14 and up,2004,100,01-14-2011,"{'magic', 'action', 'adventure', 'comedy', 'fiction', 'novel', 'teen', 'elements,... Show more', 'fantasy'}",https://www.bookrix.com/_ebook-j-c-kelley-beyond-the-veil/,https://www.bookrix.com/Books/Download.html?bookID=jessicakelley1023_1295032812.6955819130&format=epub
275,Avenging her,hima,'The reason to kill her is more the reason to let her live',Fantasy,20952 Words,Ages 0 and up,1936,107,11-20-2010,"{'mate', 'avenger', 'avenging her', 'reincarnation', 'vampire'}",https://www.bookrix.com/_ebook-hima-avenging-her/,https://www.bookrix.com/Books/Download.html?bookID=himabindu.works8_1290260539.3843190670&format=epub
276,Assassin's Apprentice,A.L.P.D,"Seven years ago a scientists made this chemical that would cure people from any kind of illness or anger, it would make them clean and good. Though what really happened was that when they let the chemical out, everything turned into distruction. nothing was ever the same since then.
Emrys a boy of fourteen gets apprenticed to a famous Assassin, and learn to kill and fight back after his parents were killed by the scientists because they knew to much.",Fantasy,1883 Words,Ages 16 and up,1788,7,01-18-2013,,https://www.bookrix.com/_ebook-a-l-p-d-assassin-039-s-apprentice/,https://www.bookrix.com/Books/Download.html?bookID=amberlee9_1358555562.9482700825&format=epub
277,Goddesses: Amphitrite,Remi Johnson,"Amphitrite, goddess of the see,crush of Poseidon. She is new at Myth Academy, a mortal. Will she fit in or will be outcast as a goddess of lame?",Fantasy,4781 Words,Ages 0 and up,1779,69,05-15-2011,"{'academy', 'goddess', 'poseidon', 'crush', 'greek', 'myth', 'school'}",https://www.bookrix.com/_ebook-remi-johnson-goddesses-amphitrite/,https://www.bookrix.com/Books/Download.html?bookID=bellafani2_1305486561.8194420338&format=epub
278,Rarity,Haley Elizabeth,Vannah considers herself an average teenage girl she's boy crazy and loves a good pool party except when the party involves her being exposed as a mermaid on her 18th birthday which is something she didn't expect or the deceit that follows Vannah is thrown into the world of U.G.I's Unique gened induvisual's A group of teens who go up against The Mess M.E.S.S. Mutant Establishment for scientific study with them she finds comfort as well as adventure meanwhile dealing with her new found power's and trying to figure out her past she break's one heart and sings her way into another,Fantasy,30521 Words,Ages 16 and up,1692,30,08-15-2012,"{'Uniquely... Show more', 'Mermaids', 'Love', 'Fantasy', 'Shape Shifter', 'Super Powers', 'Experiments'}",https://www.bookrix.com/_ebook-haley-elizabeth-rarity/,https://www.bookrix.com/Books/Download.html?bookID=elizabethhaley_1345053347.6059169769&format=epub
279,Soul owned,Collet Devocour,"Sorry for not updatingi'll start updating now .


Some pepole believe dreams are just dreams but dreams for me mean the future especially dreams with Damen . Now Vladimir , Damens enemy back in the council threatens my new estabilty . Vladimir want to rule as king and he just doesn't want Damens place but Damens love who is me . It hard not being atracted to him but what Vladimir doesn't know it that I do not only belong to Damen but also my soul does .And my whole being.",Fantasy,6075 Words,Ages 0 and up,1545,73,08-09-2012,"{'Love', 'Vampire', 'Owner', 'Hate', 'Hunting', 'Passion'}",https://www.bookrix.com/_ebook-collet-devocour-soul-owned/,https://www.bookrix.com/Books/Download.html?bookID=collet1_1344557634.1756041050&format=epub
280,Dawn,Lisette Kabel,"After Breaking Dawn, Renesmee is older, Cullens move to a different city, Jake & Nessie realtionship grows, new enemys, new friends and more. All characters borrowed from the original Twilight, Stephanie Meyers. Thanks.",Fantasy,43852 Words,Ages 14 and up,1490,43,01-17-2013,,https://www.bookrix.com/_ebook-lisette-kabel-dawn/,https://www.bookrix.com/Books/Download.html?bookID=liisumusii15_1358429130.8227880001&format=epub
281,Angels,♥,,Fantasy,267 Words,Ages 0 and up,1445,43,07-05-2009,,https://www.bookrix.com/_ebook-9829-angels/,https://www.bookrix.com/Books/Download.html?bookID=love15_1246833798.1850750446&format=epub
282,Twilight,Tyler Paige x (me),"Meet Bella a girl with questions and no answers until she discovers
Edward a vampire which is her true love and protector against all enemies, In this heart -pounding story Bella has to fight for her life with her vampire love and his vampire family but she is yet to learn that when she adds it all up the cold hands,the fastness,the strenghness, the fast running and th eye colour changing but what killer does her best friend Jake turn out to be.....",Fantasy,647 Words,Ages 0 and up,1392,34,09-05-2010,,https://www.bookrix.com/_ebook-tyler-paige-x-me-twilight/,https://www.bookrix.com/Books/Download.html?bookID=eeyore16_1283711239.8168570995&format=epub
283,In Harmony We Trust,Ryan Matthew Harker,"(Complete Work- ongoing editing project)

After enjoying a prolonged and comfortable intermission Candlelite, Absinthe, and their stalwart companions are forced to flee the Midnight Monastery. Embarking on their desperate journey to defeat the diabolically mad sorcerer Harmony they don't know what adventures are in store for them. Will Jeshux stop Harmony from re-entering AnEerth? Will the city Dirsellia and all of its inhabitants be turned to dust? Does Absinthe get trapped inside a pocket dimension for all eternity? Will Candlelite except Queen Mega'N's offer? Find out the answer to these questions and more!",Fantasy,78656 Words,Ages 0 and up,1388,22,05-25-2011,"{'Sorcery', 'War', 'Love', 'Wormholes', 'Werewolves,... Show more', 'Prophecy', 'Hate', 'Physics', 'Peace'}",https://www.bookrix.com/_ebook-ryan-matthew-harker-in-harmony-we-trust/,https://www.bookrix.com/Books/Download.html?bookID=countzero_1306305465.5728321075&format=epub
284,Sold to a demon,Ria Singh,"She was an outcast, omega and mate less and because she belonged to the strongest pack in the world, they despised her all the more for being weak, an upcoming war with the rogues are coming, they decided to become one rogue pack for the purpose of winning this war so the pack decided to make a deal with the demons but they thought it all a joke until the demon prince set his eyes on her and proclaimed her his mate and that she will be the price so her pack sold her to the demon.",Fantasy,5182 Words,Ages 16 and up,1368,17,08-14-2014,"{'weakest', 'rogues', 'mate', 'war', 'belongs', 'strongest', 'omega', 'demon,... Show more', 'outcast'}",https://www.bookrix.com/_ebook-ria-singh-sold-to-a-demon/,https://www.bookrix.com/Books/Download.html?bookID=hwc8b3687cdce35_1408045124.2747309208&format=epub
285,Life,Patricia Silva,"In the past 5 centuries Tyren hasn't been too bright. When it was announced that two young wizards obtain the gift of life, excitement arose throughtout the planet. Life is the highest, and rarest of all the gifts. A gift is a specific part of magic that a creature's abilities lie in. The only problem is that Siena Hunt can't control even the basics of her gift of life, and she is expected to become the princess, and eventually queen, of Tyren.
Siena's mentor, Tomas Carter, cares about her very much, enough to keep certain things from her. Now, he must teach Siena all the lessons he's been holding back, without revealing his own secrets, before the coronation.
Siena has been working very hard and getting better at both her school in the human world, and the work Tomas gives her. However, she still struggles with performing the greatest application of her gift. Though she is uncertain whether she even wants to rule over Tyren, she knows exactly what she has to do when she receives letters from an evil wizard who threatens to take the gift of life from, and possibly kill, either her or her younger sister, Sophia.",Fantasy,21487 Words,Ages 10 and up,1338,40,11-21-2012,"{'magic', 'mentor', 'gift', 'evil,... Show more', 'forest', 'werewolves', 'wizards', 'wizard', 'werewolf'}",https://www.bookrix.com/_ebook-patricia-silva-life/,https://www.bookrix.com/Books/Download.html?bookID=patchicha_1353546631.4956669807&format=epub
286,Angel Dust,Aurora Morgenstern,"Forseen and named by the Archangel Michael, Felice is overwhelmed by her new life as an angel. But wings aren´t the only thing that come with being an angel, there is a prophecy about Lucifers return and Felice plays a part in it. Nothing is as it seems and Felice soon discovers that the devil isn´t the last angel to betray his brothers. Nothing is as it seems between heaven and hell and the angels aren´t all as devoted as they appear.",Fantasy,49308 Words,Ages 12 and up,1288,26,05-04-2013,"{'Gabriel', 'Uriel,... Show more', 'Michael', 'Angel Dust', 'Lucifer', 'Angels', 'Raphael', 'Archangel'}",https://www.bookrix.com/_ebook-aurora-morgenstern-angel-dust/,https://www.bookrix.com/Books/Download.html?bookID=aurora552_1365787661.4627189636&format=epub
287,A Witches Heart,Lisa Marie McDonagh,"What happens when Katheren moves to a new town after her parents die?
She meets Darren and makes a new life but not without overcoming some hurdles on her way",Fantasy,33606 Words,Ages 14 and up,1265,19,07-22-2012,"{'teenage', 'romance', 'witch', 'marriage', 'love', 'heart', 'school', 'fantasy'}",https://www.bookrix.com/_ebook-lisa-marie-mcdonagh-a-witches-heart/,https://www.bookrix.com/Books/Download.html?bookID=xxlisaxxmariexx_1342949332.7793350220&format=epub
288,No Regard,Carolyn Barber,"Silvia's young life is selfishly taken by the man she loves, Ty. He brings her into a dark world of lust, blood and violence, claiming her as his own for eternity. She struggles with her hatred towards the man she once loved and trusted. Questioning his motives in condemning her to a world of eternal darkness for the sake of love.

Continually developing her super-natural strength and powers, she sets out to master them. Her inspiration, a beneath the surface, unsettled desire for vengeance!

Just when an act of redemption seems to re-enforce their love, she is taken from Ty by a man who's heart she broke in the past, Adam. As Silvia is held prisoner by Adam, the truths revealed change everything. Although the target of her vengeance may change, the verdict remains the same, total annihilation. An obsession that may cost her own existence.

*Warning: Contains sexually descriptive scenes in a somewhat tasteful manner.",Fantasy,37469 Words,Ages 16 and up,1257,18,09-07-2014,"{'Romance', 'Love', 'Fangs,... Show more', 'Vengeance', 'Vampires', 'Blood', 'Sex', 'Violence', 'Thriller'}",https://www.bookrix.com/_ebook-carolyn-barber-no-regard/,https://www.bookrix.com/Books/Download.html?bookID=nt69adcd030a935_1405321333.2995491028&format=epub
289,Beauty,@((Y^!@ Allyvia,"Vienna Hale had everything: the perfect, gorgeous boyfriend; the best frenemy; the ability to read minds.

She didn't think it was weird. Her mother could do it; her grandmother before her. She had been living a normal, average life....

Until Avery Silver waltzed back into her life. Everything she knows becoming a whirlwind of lies, Vienna must decide who to trust.",Fantasy,11982 Words,Ages 14 and up,1219,55,06-27-2013,"{'witches', 'read it?', 'romance', 'mind-reading', 'love', 'hurt,... Show more', 'supernatural', 'family'}",https://www.bookrix.com/_ebook-y-allyvia-beauty/,https://www.bookrix.com/Books/Download.html?bookID=agarza1999_1372199087.2732069492&format=epub
290,Female Alpha,Abbie Davis,She was just the next in line girl that had trouble with a hunter crazy to get proof that they were real. He was just a boy that just moved there after another pack tried to take their land. When they meet it is a one of a kind tale. But she is who is the one carrying the wieght of the world on her shoulders but now with him. This is their story.,Fantasy,16089 Words,Ages 14 and up,1191,18,02-29-2016,"{'Mates', 'Taken', 'werewolf', 'alpha'}",https://www.bookrix.com/_ebook-abbie-davis-female-alpha/,https://www.bookrix.com/Books/Download.html?bookID=nqd5505ca565265_1456433843.4198169708&format=epub
291,A Baby And His First Flight,Kenneth Zimmerle,Flying in a homemade rocket as a baby is very exciting. The adventures ...,Fantasy,314 Words,Ages 0 and up,1138,3,08-21-2011,"{'rocket', 'first flight', 'babies', 'baby'}",https://www.bookrix.com/_ebook-kenneth-zimmerle-a-baby-and-his-first-flight/,https://www.bookrix.com/Books/Download.html?bookID=kennynext_1313957293.0065081120&format=epub
292,"Forbidden Love, Twisted Seduction",Libby Enticknap,"Evelyn escape to find herself hunted down by the darkness...


When all is lost. Evelyn finds hope in Nathan but should Evelyn trust him? When all is at stake in this dark and chilling world.",Fantasy,4514 Words,Ages 16 and up,1115,6,11-28-2010,"{'Romance', 'Death', 'Action adventure'}",https://www.bookrix.com/_ebook-libby-enticknap-forbidden-love-twisted-seduction-1/,https://www.bookrix.com/Books/Download.html?bookID=libby.lou_1290964125.4206209183&format=epub
293,"Worst of enemies, best of friends",B.T.Broadfield,,Fantasy,1498 Words,Ages 0 and up,1051,31,06-03-2010,"{'werewolf', 'war', 'friendship', 'vampire'}",https://www.bookrix.com/_ebook-b-t-broadfield-worst-of-enemies-best-of-friends/,https://www.bookrix.com/Books/Download.html?bookID=branflake_1275579135.3685159683&format=epub
294,Tokyo mega moon mewz,Mewichigo34,Mew ichigo goes to school with Sailor Moon,Fantasy,1705 Words,Ages 0 and up,1049,16,01-23-2010,"{'magical people', 'sailor moon', 'tokyo mew mew', 'fantasy'}",https://www.bookrix.com/_ebook-mewichigo34-tokyo-mega-moon-mewz/,https://www.bookrix.com/Books/Download.html?bookID=mewichigo34_1264291000.3318469524&format=epub
295,~No Name~,Winter Nyala,"There's a place where the beasts run wild, and fight for leadership and power. There are humans still alive, yet they hide in caves and tunnels, deep in the earth. The beasts roam the dessert land and I, the queen of these monsters, is human. I have dominated them all, for I have such a strange gift. There is a story for how I became the queen here, the queen of beasts who hate humans, and yet I am human.

This is the story of how I became, who I am...",Fantasy,11438 Words,Ages 14 and up,1051,24,03-18-2012,"{'dark', 'creatures', 'winter', 'no', 'warrior', 'love,... Show more', 'fighting', 'nyala', 'name'}",https://www.bookrix.com/_ebook-winter-nyala-no-name/,https://www.bookrix.com/Books/Download.html?bookID=streamingcrystal_1332084832.8243749142&format=epub
296,Purely Fallen,D. Richardson,"Fallen angels, pure angels we all know what they are. But there is one angel that is both, but neither. Born from both and yet born to earth. An angel with the mentality and free will of a human. So of course this powerful being must be monitored by both sides. Who better to monitor this teenage female angel than the arch angel Gabriyel. But he soon finds that this young woman may be the biggest temptation he has ever known throughout his long existence.",Fantasy,15201 Words,Ages 16 and up,1047,40,12-18-2013,,https://www.bookrix.com/_ebook-d-richardson-purely-fallen/,
